ID;SOA;Condition;Panel;Reaction Time (ms)
13;long;CI;T1-locked RT;581.57
14;long;CI;T1-locked RT;781.15
15;long;CI;T1-locked RT;677.69
16;long;CI;T1-locked RT;618.56
17;long;CI;T1-locked RT;517.04
18;long;CI;T1-locked RT;780.53
19;long;CI;T1-locked RT;539.04
20;long;CI;T1-locked RT;872.07
21;long;CI;T1-locked RT;689.2
22;long;CI;T1-locked RT;716.86552631579
23;long;CI;T1-locked RT;694.64552631579
24;long;CI;T1-locked RT;737.91
25;long;CI;T1-locked RT;793.24
26;long;CI;T1-locked RT;663.44
27;long;CI;T1-locked RT;625.35
28;long;CI;T1-locked RT;826.25
29;long;CI;T1-locked RT;656.93
30;long;CI;T1-locked RT;745.73
31;long;CI;T1-locked RT;807.83
32;long;CI;T1-locked RT;633.5
33;long;CI;T1-locked RT;677.9
34;long;CI;T1-locked RT;597.83
35;long;CI;T1-locked RT;683.09
36;long;CI;T1-locked RT;787.18
37;long;CI;T1-locked RT;501.98
38;long;CI;T1-locked RT;513.77
39;long;CI;T1-locked RT;739.68
40;long;CI;T1-locked RT;697.65
1;long;IC;T1-locked RT;909.13
2;long;IC;T1-locked RT;1004.44
3;long;IC;T1-locked RT;933.9
4;long;IC;T1-locked RT;1286.16
5;long;IC;T1-locked RT;1216.49
6;long;IC;T1-locked RT;888.67
7;long;IC;T1-locked RT;641.18
8;long;IC;T1-locked RT;1267.52
9;long;IC;T1-locked RT;743.17
10;long;IC;T1-locked RT;866.51
11;long;IC;T1-locked RT;1009.83
12;long;IC;T1-locked RT;732.52
13;long;IC;T1-locked RT;718.38
14;long;IC;T1-locked RT;887.29
15;long;IC;T1-locked RT;830.24
16;long;IC;T1-locked RT;760.21
17;long;IC;T1-locked RT;674.14
18;long;IC;T1-locked RT;877.27
19;long;IC;T1-locked RT;627.84
20;long;IC;T1-locked RT;1079.08
21;long;IC;T1-locked RT;840.34
22;long;IC;T1-locked RT;911.853421052632
23;long;IC;T1-locked RT;889.633421052632
24;long;IC;T1-locked RT;1253.13
25;long;IC;T1-locked RT;919.97
26;long;IC;T1-locked RT;795.19
27;long;IC;T1-locked RT;757.15
28;long;IC;T1-locked RT;980.67
29;long;IC;T1-locked RT;797.22
30;long;IC;T1-locked RT;1020.08
31;long;IC;T1-locked RT;1119.2
32;long;IC;T1-locked RT;788.56
33;long;IC;T1-locked RT;820.68
34;long;IC;T1-locked RT;794.44
35;long;IC;T1-locked RT;834.59
36;long;IC;T1-locked RT;1040.21
37;long;IC;T1-locked RT;656.76
38;long;IC;T1-locked RT;778.06
39;long;IC;T1-locked RT;847.19
40;long;IC;T1-locked RT;850.84
1;long;II;T1-locked RT;931.45
2;long;II;T1-locked RT;870.68
3;long;II;T1-locked RT;970.03
4;long;II;T1-locked RT;1316.66
5;long;II;T1-locked RT;1205.73
6;long;II;T1-locked RT;907.5
7;long;II;T1-locked RT;630.84
8;long;II;T1-locked RT;1319.22
9;long;II;T1-locked RT;758.75
10;long;II;T1-locked RT;929.18
11;long;II;T1-locked RT;1012.69
12;long;II;T1-locked RT;740.27
13;long;II;T1-locked RT;718.88
14;long;II;T1-locked RT;941.35
15;long;II;T1-locked RT;810.98
16;long;II;T1-locked RT;740.63
17;long;II;T1-locked RT;680.89
18;long;II;T1-locked RT;852.61
19;long;II;T1-locked RT;618.32
20;long;II;T1-locked RT;1052.34
21;long;II;T1-locked RT;947.95
22;long;II;T1-locked RT;921.61052631579
23;long;II;T1-locked RT;899.39052631579
24;long;II;T1-locked RT;1192.21
25;long;II;T1-locked RT;954.24
26;long;II;T1-locked RT;821.47
27;long;II;T1-locked RT;798.29
28;long;II;T1-locked RT;1062
29;long;II;T1-locked RT;839.21
30;long;II;T1-locked RT;1074.63
31;long;II;T1-locked RT;1142.78
32;long;II;T1-locked RT;774.31
33;long;II;T1-locked RT;851.05
34;long;II;T1-locked RT;822.22
35;long;II;T1-locked RT;810.97
36;long;II;T1-locked RT;1017.21
37;long;II;T1-locked RT;660
38;long;II;T1-locked RT;731.28
39;long;II;T1-locked RT;861.54
40;long;II;T1-locked RT;848.66
1;short;CC;T2-locked RT;1083.81
2;short;CC;T2-locked RT;1009.39
3;short;CC;T2-locked RT;992.3
4;short;CC;T2-locked RT;1244.31
5;short;CC;T2-locked RT;1256.83
6;short;CC;T2-locked RT;1027.64
7;short;CC;T2-locked RT;752.72
8;short;CC;T2-locked RT;1211.57
9;short;CC;T2-locked RT;934.77
10;short;CC;T2-locked RT;1174.13
11;short;CC;T2-locked RT;1104.55
12;short;CC;T2-locked RT;904.55
13;short;CC;T2-locked RT;924.81
14;short;CC;T2-locked RT;1197.16
15;short;CC;T2-locked RT;910.43
16;short;CC;T2-locked RT;832.82
17;short;CC;T2-locked RT;765.89
18;short;CC;T2-locked RT;1125.89
19;short;CC;T2-locked RT;707.78
20;short;CC;T2-locked RT;1196.56
21;short;CC;T2-locked RT;890.98
22;short;CC;T2-locked RT;1039.57405405405
23;short;CC;T2-locked RT;1006.24405405405
24;short;CC;T2-locked RT;1100.61
25;short;CC;T2-locked RT;1281
26;short;CC;T2-locked RT;940.65
27;short;CC;T2-locked RT;925.07
28;short;CC;T2-locked RT;1168.66
29;short;CC;T2-locked RT;948.98
30;short;CC;T2-locked RT;1267.51
31;short;CC;T2-locked RT;1183.71
32;short;CC;T2-locked RT;1028.47
33;short;CC;T2-locked RT;1041.34
34;short;CC;T2-locked RT;819.56
35;short;CC;T2-locked RT;1012.03
36;short;CC;T2-locked RT;1171.53
37;short;CC;T2-locked RT;693.05
38;short;CC;T2-locked RT;767.06
39;short;CC;T2-locked RT;1209.14
40;short;CC;T2-locked RT;1156.34
1;short;CI;T2-locked RT;1145.39
2;short;CI;T2-locked RT;1131.91
3;short;CI;T2-locked RT;1141.97
4;short;CI;T2-locked RT;1364.43
5;short;CI;T2-locked RT;1367.51
6;short;CI;T2-locked RT;1138.41
7;short;CI;T2-locked RT;864.98
8;short;CI;T2-locked RT;1403.24
9;short;CI;T2-locked RT;1037.43
10;short;CI;T2-locked RT;1224.57
11;short;CI;T2-locked RT;1223.63
12;short;CI;T2-locked RT;1013.59
13;short;CI;T2-locked RT;1027.35
14;short;CI;T2-locked RT;1301.02
15;short;CI;T2-locked RT;1080.42
16;short;CI;T2-locked RT;1034.47
17;short;CI;T2-locked RT;904.74
18;short;CI;T2-locked RT;1104.5
19;short;CI;T2-locked RT;821.5
20;short;CI;T2-locked RT;1273.08
21;short;CI;T2-locked RT;968.63
22;short;CI;T2-locked RT;1141.60189189189
23;short;CI;T2-locked RT;1108.27189189189
24;short;CI;T2-locked RT;1470.64
25;short;CI;T2-locked RT;1270.47
26;short;CI;T2-locked RT;1088.07
27;short;CI;T2-locked RT;1028.54
28;short;CI;T2-locked RT;1204
29;short;CI;T2-locked RT;1056.37
30;short;CI;T2-locked RT;1287.96
31;short;CI;T2-locked RT;1224.56
32;short;CI;T2-locked RT;1197.45
33;short;CI;T2-locked RT;1157.25
34;short;CI;T2-locked RT;1010.45
35;short;CI;T2-locked RT;1052.92
36;short;CI;T2-locked RT;1176.19
37;short;CI;T2-locked RT;837.72
38;short;CI;T2-locked RT;917.36
39;short;CI;T2-locked RT;1128
40;short;CI;T2-locked RT;1227.9
1;short;IC;T2-locked RT;1129.78
2;short;IC;T2-locked RT;1135.08
3;short;IC;T2-locked RT;1285.81
4;short;IC;T2-locked RT;1590.42
5;short;IC;T2-locked RT;1426.12
6;short;IC;T2-locked RT;1228.18
7;short;IC;T2-locked RT;851.32
8;short;IC;T2-locked RT;1277.28
9;short;IC;T2-locked RT;1075.07
10;short;IC;T2-locked RT;1308.63
11;short;IC;T2-locked RT;1389
12;short;IC;T2-locked RT;1063.82
13;short;IC;T2-locked RT;1051.51
14;short;IC;T2-locked RT;1165
15;short;IC;T2-locked RT;1174.04
16;short;IC;T2-locked RT;983.85
17;short;IC;T2-locked RT;940.9
18;short;IC;T2-locked RT;1237.4
19;short;IC;T2-locked RT;832.6
20;short;IC;T2-locked RT;1255.25
21;short;IC;T2-locked RT;1013.89
22;short;IC;T2-locked RT;1175.93837837838
23;short;IC;T2-locked RT;1142.60837837838
24;short;IC;T2-locked RT;1159.93
25;short;IC;T2-locked RT;1277.12
26;short;IC;T2-locked RT;1066.97
27;short;IC;T2-locked RT;1058.42
28;short;IC;T2-locked RT;1282.83
29;short;IC;T2-locked RT;1096.52
30;short;IC;T2-locked RT;1480.55
31;short;IC;T2-locked RT;1329.3
32;short;IC;T2-locked RT;1183.24
33;short;IC;T2-locked RT;1262.22
34;short;IC;T2-locked RT;942.3
35;short;IC;T2-locked RT;1047.74
36;short;IC;T2-locked RT;1240.05
37;short;IC;T2-locked RT;915.9
38;short;IC;T2-locked RT;1033.31
39;short;IC;T2-locked RT;1230.36
40;short;IC;T2-locked RT;1250.98
1;short;II;T2-locked RT;1254.19
2;short;II;T2-locked RT;1189.47
3;short;II;T2-locked RT;1317.25
4;short;II;T2-locked RT;1713.74
5;short;II;T2-locked RT;1560.32
