ID;SOA;Condition;T1cond;T2cond;Panel;Reaction Time (ms)
12;long;CC;C;C;T1-locked RT;753.84
13;long;CC;C;C;T1-locked RT;1224.08
14;long;CC;C;C;T1-locked RT;750.43
15;long;CC;C;C;T1-locked RT;932.34
16;long;CC;C;C;T1-locked RT;813.77
17;long;CC;C;C;T1-locked RT;1078.24
18;long;CC;C;C;T1-locked RT;1097.53
19;long;CC;C;C;T1-locked RT;973.53
20;long;CC;C;C;T1-locked RT;772.88
21;long;CC;C;C;T1-locked RT;689.46
22;long;CC;C;C;T1-locked RT;735.18
23;long;CC;C;C;T1-locked RT;607.96
24;long;CC;C;C;T1-locked RT;1009.32
25;long;CC;C;C;T1-locked RT;913.06
26;long;CC;C;C;T1-locked RT;691.65
27;long;CC;C;C;T1-locked RT;671.82
28;long;CC;C;C;T1-locked RT;739.19
29;long;CC;C;C;T1-locked RT;812.61
30;long;CC;C;C;T1-locked RT;951.2
31;long;CC;C;C;T1-locked RT;904.68
32;long;CC;C;C;T1-locked RT;617.14
33;long;CC;C;C;T1-locked RT;701.5
34;long;CC;C;C;T1-locked RT;557.08
35;long;CC;C;C;T1-locked RT;728.34
36;long;CC;C;C;T1-locked RT;858.85
37;long;CC;C;C;T1-locked RT;601.53
38;long;CC;C;C;T1-locked RT;833.5855
39;long;CC;C;C;T1-locked RT;821.958565789474
40;long;CC;C;C;T1-locked RT;833.308668233083
1;long;CI;C;I;T1-locked RT;906.92
2;long;CI;C;I;T1-locked RT;936.73
3;long;CI;C;I;T1-locked RT;566.17
4;long;CI;C;I;T1-locked RT;712.68
5;long;CI;C;I;T1-locked RT;761.88
6;long;CI;C;I;T1-locked RT;868.33
7;long;CI;C;I;T1-locked RT;758.59
8;long;CI;C;I;T1-locked RT;764.96
9;long;CI;C;I;T1-locked RT;774.12
10;long;CI;C;I;T1-locked RT;1138.2
11;long;CI;C;I;T1-locked RT;869.23
12;long;CI;C;I;T1-locked RT;744.07
13;long;CI;C;I;T1-locked RT;931.7
14;long;CI;C;I;T1-locked RT;740.94
15;long;CI;C;I;T1-locked RT;966.26
16;long;CI;C;I;T1-locked RT;826.56
17;long;CI;C;I;T1-locked RT;1086.75
18;long;CI;C;I;T1-locked RT;1046.8
19;long;CI;C;I;T1-locked RT;941.38
20;long;CI;C;I;T1-locked RT;810.32
21;long;CI;C;I;T1-locked RT;694.16
22;long;CI;C;I;T1-locked RT;697.64
23;long;CI;C;I;T1-locked RT;600.24
24;long;CI;C;I;T1-locked RT;974.09
25;long;CI;C;I;T1-locked RT;955.57
26;long;CI;C;I;T1-locked RT;670.56
27;long;CI;C;I;T1-locked RT;675.34
28;long;CI;C;I;T1-locked RT;744.25
29;long;CI;C;I;T1-locked RT;819.99
30;long;CI;C;I;T1-locked RT;888.62
31;long;CI;C;I;T1-locked RT;883.18
32;long;CI;C;I;T1-locked RT;617.26
33;long;CI;C;I;T1-locked RT;596.58
34;long;CI;C;I;T1-locked RT;541.96
35;long;CI;C;I;T1-locked RT;736.63
36;long;CI;C;I;T1-locked RT;877.56
37;long;CI;C;I;T1-locked RT;625.53
